probability_bin,signals,predicted_probability,observed_candidate_fraction
1,161,0.006837739099166225,0.018633540372670808
2,161,0.017105556513169796,0.024844720496894408
3,161,0.046546806217700035,0.07453416149068323
4,161,0.16651584710454123,0.14906832298136646
5,161,0.4236828100119405,0.453416149068323
6,161,0.6971143968076651,0.6708074534161491
7,161,0.8423404850185519,0.8198757763975155
8,161,0.9073812515807129,0.8881987577639752
9,161,0.9442721790920491,0.9254658385093167
10,161,0.9668480060534317,0.9813664596273292
