feature,importance_mean,importance_std
log_candidate_radius_earth,0.10995194622421392,0.006598541910687111
log_period_days,0.09700967865387698,0.007430734036241823
log_duration_hours,0.06656551300569111,0.004216109461462867
log_model_signal_to_noise,0.028132600027159404,0.002109267735955027
log_transit_depth_ppm,0.01904034418478323,0.00234455050253991
impact_parameter,0.018685573373825582,0.0012116245280109862
log_stellar_radius_solar,0.010213047664901243,0.0011000384613993664
log_equilibrium_temperature_k,0.009394405145488404,0.0017660406094001254
stellar_temperature_k,0.009235923360863119,0.00161646458653689
stellar_surface_gravity,0.0030276656420131776,0.00042743770525832935
kepler_magnitude,0.0025761391553398736,0.000609670015095259
